side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
long,True,-0.3044318248346056,10:30:00,False,False,none,True,False,False
short,True,-1.2072198781059584,10:45:00,False,True,same,False,False,True
short,True,-0.20080321285140812,11:15:00,False,False,none,False,False,False
short,True,-0.24831500532104256,15:30:00,False,True,same,False,False,True
long,True,0.7223636686600532,10:30:00,False,True,same,False,False,False
short,True,0.05837711617047159,10:45:00,False,True,same,True,False,False
long,True,-0.15759061460339785,12:15:00,False,False,none,True,False,False
short,True,-0.679674225112803,11:15:00,False,True,same,False,False,True
short,False,-2.1894364119209198,,,,,,,
short,True,-0.9631110303470858,10:45:00,False,True,same,False,False,True
short,True,0.3375682808568037,15:00:00,False,True,same,True,False,False
short,True,-0.6671154905441012,10:15:00,False,True,same,False,False,True
short,False,-0.8674101610904539,,,,,,,
short,True,-1.1019798281658555,11:15:00,False,True,same,False,False,True
short,True,0.4078047556308473,12:45:00,True,False,opposite,True,True,False
short,True,-0.10708661417323517,10:15:00,False,True,same,False,False,True
long,True,-1.7283486755588995,10:15:00,True,True,same,True,True,False
long,True,0.81036242981114,10:30:00,True,True,opposite,False,False,False
short,True,0.7426054122089409,11:30:00,True,False,opposite,True,True,False
long,True,0.12467273407306134,12:00:00,False,True,same,False,False,True
short,False,-1.8071535767884006,,,,,,,
long,True,0.27306788594652076,13:45:00,True,False,opposite,False,False,False
long,False,2.0729318081273984,,,,,,,
short,True,-0.7815384615384668,13:15:00,False,True,same,False,False,False
short,False,-1.9511588889579268,,,,,,,
short,True,-0.3289473684210509,12:30:00,False,True,same,False,False,False
long,True,-0.8810293465170926,14:00:00,True,False,opposite,True,True,False
short,True,0.3212954633080578,15:00:00,True,False,opposite,True,False,False
short,False,-0.9699444834407434,,,,,,,
short,False,-2.040290918452725,,,,,,,
short,True,-0.6682827753390574,15:15:00,False,True,same,False,False,True
short,True,0.6911077469887505,13:45:00,False,True,same,True,False,False
long,False,2.19780219780219,,,,,,,
short,True,-0.35775889605825784,14:15:00,False,True,same,False,False,True
short,True,-1.2460063897763551,10:45:00,False,True,same,False,False,True
long,True,-0.01291822761917416,13:45:00,False,False,none,True,False,False
long,False,1.4841582241724272,,,,,,,
short,False,-1.0516922684683516,,,,,,,
long,True,-0.10310607036988495,15:00:00,False,True,same,True,False,False
long,True,0.19338619222588616,10:45:00,True,False,opposite,False,False,False
short,False,-1.9020691427837133,,,,,,,
short,True,0.4707420725727385,11:45:00,True,False,opposite,True,True,False
long,True,2.663987555094649,10:15:00,True,True,same,False,False,True
short,True,-0.8367411135577152,10:45:00,False,True,same,False,False,True
short,True,-1.241326628047612,14:45:00,False,True,same,False,False,True
long,True,-0.44358727097396633,10:45:00,True,True,same,True,True,False
long,True,-0.5130203259951949,14:30:00,True,False,opposite,True,True,False
short,False,-1.1065547093666583,,,,,,,
short,True,0.9495548961424349,10:15:00,True,True,same,True,True,False
short,False,-1.7161197353769642,,,,,,,
long,True,-0.9792085848423837,10:45:00,True,True,same,True,True,False
short,False,-1.0229659237179,,,,,,,
short,True,0.20518432391765096,10:45:00,False,False,none,True,False,False
short,False,-0.12905855182719916,,,,,,,
long,True,1.4035565851332032,10:15:00,False,True,same,False,False,True
short,True,-1.8349852665416666,10:45:00,False,True,same,False,False,True
long,False,1.5019545984500393,,,,,,,
long,True,0.35740778204869095,10:30:00,True,True,opposite,False,False,True
short,True,0.2224319223510518,11:15:00,True,True,same,True,True,False
short,True,-1.1114830934047526,10:45:00,False,True,same,False,False,True
long,False,1.5417760721739837,,,,,,,
long,True,0.03980099502487455,12:30:00,False,True,same,False,False,True
short,False,-0.8223024468511753,,,,,,,
long,True,0.7190376990793723,15:00:00,False,True,same,False,False,False
long,False,1.5212708669897879,,,,,,,
short,True,-1.2030767207941606,11:15:00,False,True,same,False,False,True
short,True,-0.5594033031433021,11:30:00,False,True,same,False,False,True
long,True,-0.888562266167825,10:45:00,True,True,same,True,True,False
short,True,-1.283244680851059,10:45:00,True,True,opposite,False,False,True
long,True,0.8435117079425014,11:30:00,False,True,same,False,False,True
short,True,-0.20819341840160321,12:15:00,False,True,same,False,False,False
short,True,-0.3002602255287923,10:30:00,True,True,opposite,False,False,True
long,False,1.1886680314336706,,,,,,,
long,True,1.5340798757200957,11:15:00,False,True,same,False,False,True
long,True,0.6585677749360475,14:15:00,False,True,same,False,False,True
long,True,0.38180082723513475,14:45:00,False,True,same,False,False,True
short,True,-0.2235707441711865,11:15:00,False,True,same,False,False,False
long,True,0.10251810085217805,11:00:00,True,True,same,False,False,False
short,False,-0.7927375015982618,,,,,,,
short,True,-0.025708593097251153,14:45:00,False,True,same,False,False,False
long,True,0.36084799278304214,10:45:00,False,True,same,False,False,False
long,False,0.8669963393487912,,,,,,,
short,True,0.369709331973489,15:15:00,True,False,opposite,True,True,False
long,True,0.38712952973281034,11:30:00,False,True,same,False,False,True
short,True,-0.18951358180669953,10:45:00,False,True,same,False,False,False
short,True,-0.06292474200856324,10:45:00,False,True,same,False,False,False
long,False,0.8863464923309028,,,,,,,
short,False,-1.0759453847605793,,,,,,,
short,True,-0.261429573423444,10:15:00,True,True,same,False,False,False
long,True,0.5169772785294846,11:30:00,False,True,same,False,False,True
short,True,1.4596670934699185,10:45:00,True,False,opposite,True,True,False
long,False,1.9120338234366097,,,,,,,
long,True,0.5446555672463882,12:15:00,False,True,same,False,False,True
short,True,-0.6451612903225712,11:30:00,False,True,same,False,False,True
long,True,0.036744442403091604,10:45:00,True,True,same,False,False,False
short,True,-0.9642377639448307,10:45:00,False,True,same,False,False,True
long,True,0.5804007820136903,14:15:00,False,True,same,False,False,True
short,True,-0.8790009699321089,10:15:00,False,True,same,False,False,True
short,False,-0.7219333129397376,,,,,,,
short,True,1.2753694279232342,11:00:00,True,False,opposite,True,True,False
long,True,0.6001091107473933,10:45:00,True,True,same,False,False,True
long,True,0.018107194591987508,12:00:00,True,False,opposite,False,False,False
short,True,0.09033423667570428,11:00:00,False,True,same,True,False,False
long,True,-0.6248497957221821,12:00:00,True,False,opposite,True,True,False
long,True,-1.2094823415578104,12:45:00,True,False,opposite,True,True,False
long,False,0.6683836154034895,,,,,,,
long,False,2.6814072807231693,,,,,,,
long,True,0.49991073022674914,11:45:00,False,True,same,False,False,True
long,True,0.1366039080596293,10:15:00,False,True,same,False,False,True
long,False,0.4275280565287032,,,,,,,
short,True,0.03541076487252326,10:45:00,False,True,same,True,False,False
long,True,0.1955903271692705,14:30:00,False,True,same,False,False,True
long,True,1.0707142016707971,10:45:00,False,True,same,False,False,True
long,True,0.49464618249535075,10:45:00,False,True,same,False,False,True
long,True,0.07526632700323166,10:30:00,False,True,same,False,False,False
short,True,-0.38439138031449716,10:45:00,False,True,same,False,False,False
short,False,-1.0356664921161274,,,,,,,
long,True,0.47125353440151674,11:00:00,False,True,same,False,False,True
long,False,1.1953591937185148,,,,,,,
short,True,-0.3834534046014526,10:15:00,False,True,same,False,False,True
long,True,0.6822157434402287,10:45:00,False,True,same,False,False,True
short,True,0.5772672169947368,11:30:00,True,False,opposite,True,True,False
long,True,-1.1850658689524174,12:15:00,True,True,same,True,True,False
long,True,0.6698508853681284,12:30:00,False,True,same,False,False,True
short,True,-0.011547344110862667,10:30:00,False,True,same,False,False,True
short,False,-1.7424808787164348,,,,,,,
long,True,0.5055849500293919,10:30:00,False,True,same,False,False,True
short,False,-0.41450172222546877,,,,,,,
long,False,1.1391517700666043,,,,,,,
long,False,0.7397988671829836,,,,,,,
long,True,1.0218219605126366,11:00:00,False,True,same,False,False,True
short,True,-1.0116510372264798,10:30:00,False,True,same,False,False,True
long,True,0.44768409573552326,11:45:00,False,True,same,False,False,True
long,True,0.9703750214053342,10:45:00,False,True,same,False,False,True
short,True,1.0170640750367221,12:45:00,True,False,opposite,True,True,False
long,True,0.2850435949027341,14:30:00,False,True,same,False,False,False
long,True,0.08886914019106129,14:00:00,False,True,same,False,False,True
short,True,0.5188573979022504,11:45:00,True,False,opposite,True,True,False
long,True,0.46198374707782097,14:15:00,False,True,same,False,False,True
short,True,0.1107235785860583,11:30:00,False,False,none,True,False,False
short,True,0.34754785678821065,10:45:00,True,False,opposite,True,True,False
short,False,-1.9432483162195036,,,,,,,
long,True,0.5365109843564753,10:45:00,False,True,same,False,False,True
long,True,0.14528386231560386,10:30:00,True,True,same,False,False,False
short,True,0.027915805929312754,10:45:00,True,True,same,True,False,False
short,False,-0.8322627492598933,,,,,,,
long,False,1.0158837065723736,,,,,,,
long,True,0.04429924137547836,11:45:00,False,True,same,False,False,True
long,True,-0.022217285047776425,13:30:00,False,False,none,True,False,False
short,False,-1.453214265904934,,,,,,,
long,False,0.722510724768588,,,,,,,
long,False,0.5385694249649298,,,,,,,
short,True,-0.5361031998659782,10:30:00,False,True,same,False,False,True
short,False,-0.5130492973455247,,,,,,,
long,True,0.8329140812789904,12:00:00,False,True,same,False,False,False
short,True,-0.5496921723834647,12:30:00,False,True,same,False,False,True
short,False,-1.360281969379895,,,,,,,
long,True,0.4217273954115974,10:30:00,False,True,same,False,False,True
long,True,-0.5202797202797149,10:15:00,True,False,opposite,True,True,False
short,False,-0.8424126698865497,,,,,,,
short,True,-1.0189640532125677,12:30:00,False,True,same,False,False,True
