date,side,orb_range,accept_close,p1_pull_pts,p1_pull_pct_range,p1_dist_level_pts,p1_dist_level_pct_range,p1_reentered,p1_closed_cont,already_beyond_pdh,touched_pdh,mins_to_pdh,pull_before_pdh_pts,pull_before_pdh_pct_range,dist_level_before_pdh_pts,dist_level_before_pdh_pct_range,eod_close_beyond_pdh,touched_pdh_daily,already_beyond_pdh_daily
2015-03-03,short,18.800000000000185,4452.1,0.1999999999998181,1.0638297872330644,2.0,10.63829787234032,False,True,False,True,0.0,0.0,0.0,2.199999999999818,11.702127659573385,False,True,False
2015-03-04,long,25.699999999999815,4450.8,1.800000000000182,7.003891050584415,1.0,3.8910505836576155,False,False,False,False,,,,,,False,False,False
2015-03-05,long,11.400000000000546,4463.2,5.5,48.24561403508541,-3.4000000000005457,-29.824561403512128,True,False,True,True,0.0,1.199999999999818,10.526315789471585,0.8999999999996362,7.894736842101693,False,True,False
2015-03-06,long,15.5,4451.3,3.9000000000005457,25.16129032258417,-2.800000000000182,-18.064516129033432,True,False,False,False,,,,,,False,False,False
2015-03-09,long,21.0,4421.7,3.0,14.285714285714285,5.399999999999636,25.71428571428398,False,False,False,False,,,,,,False,True,False
2015-03-10,short,24.0,4359.1,-0.3000000000001819,-1.250000000000758,0.5999999999994543,2.4999999999977263,False,True,True,True,0.0,-0.3000000000001819,-1.250000000000758,0.5999999999994543,2.4999999999977263,True,False,False
2015-03-11,short,15.300000000000182,4318.5,7.199999999999818,47.05882352941001,-2.0,-13.071895424836447,True,False,True,True,0.0,1.199999999999818,7.843137254900679,4.0,26.143790849672893,True,False,False
2015-03-12,long,30.400000000000546,4331.2,4.800000000000182,15.789473684210842,-4.700000000000728,-15.46052631579159,True,False,False,False,,,,,,False,True,False
2015-03-13,short,24.400000000000546,4319.4,8.5,34.836065573769716,-4.699999999999818,-19.262295081966034,True,False,False,True,29.0,8.5,34.836065573769716,-4.699999999999818,-19.262295081966034,False,True,False
2015-03-16,long,23.5,4352.5,2.800000000000182,11.91489361702205,0.0999999999994543,0.42553191489129494,False,False,True,True,0.0,1.5,6.382978723404255,1.3999999999996362,5.957446808509091,True,True,False
2015-03-17,long,14.699999999999818,4368.4,1.199999999999818,8.163265306121312,-0.5,-3.401360544217729,True,True,False,True,23.0,1.199999999999818,8.163265306121312,-0.5,-3.401360544217729,True,True,False
2015-03-18,long,13.399999999999636,4368.0,1.199999999999818,8.9552238805959,-0.3999999999996362,-2.985074626863038,True,False,False,True,181.0,25.399999999999636,189.5522388059726,-24.599999999999454,-183.58208955223972,True,True,False
2015-03-19,long,14.5,4434.5,5.300000000000182,36.55172413793229,-5.199999999999818,-35.86206896551599,True,False,False,False,,,,,,False,False,False
2015-03-20,long,11.0,4471.0,2.300000000000182,20.909090909092562,2.5,22.727272727272727,False,False,True,True,0.0,0.1999999999998181,1.8181818181801646,4.600000000000364,41.818181818185124,True,True,False
2015-03-23,long,13.0,4461.1,0.7000000000007276,5.384615384620981,0.3999999999996362,3.0769230769202784,False,False,False,False,,,,,,False,False,False
2015-03-24,long,13.300000000000182,4455.2,1.8999999999996362,14.285714285711354,1.5,11.27819548872165,False,True,False,True,61.0,1.8999999999996362,14.285714285711354,1.5,11.27819548872165,False,True,False
2015-03-25,short,38.39999999999964,4397.7,-0.0999999999994543,-0.260416666665248,6.199999999999818,16.14583333333301,False,True,True,True,0.0,-0.0999999999994543,-0.260416666665248,6.199999999999818,16.14583333333301,True,True,False
2015-03-26,long,40.599999999999454,4323.4,6.5,16.009852216748985,-1.800000000000182,-4.43349753694632,True,False,False,False,,,,,,False,True,False
2015-03-27,long,19.900000000000546,4332.1,10.800000000000182,54.271356783919025,-9.800000000000182,-49.24623115577846,True,False,False,True,279.0,20.200000000000728,101.5075376884431,-19.200000000000728,-96.48241206030251,False,True,False
2015-03-31,long,19.59999999999945,4375.4,4.0,20.408163265306694,1.199999999999818,6.122448979591081,False,False,False,False,,,,,,False,False,False
2015-04-06,long,44.0,4336.2,1.800000000000182,4.090909090909505,10.0,22.727272727272727,False,True,True,True,0.0,-0.1000000000003638,-0.22727272727355408,11.900000000000546,27.045454545455787,True,True,False
2015-04-07,long,24.0,4371.0,1.3999999999996362,5.833333333331817,1.0,4.166666666666666,False,False,True,True,0.0,0.0,0.0,2.399999999999636,9.999999999998483,False,True,False
2015-04-09,short,22.699999999999815,4372.1,0.3999999999996362,1.7621145374433458,-0.1999999999998181,-0.8810572687216729,True,True,False,False,,,,,,False,True,False
2015-04-10,long,15.800000000000182,4408.5,2.800000000000182,17.72151898734272,-0.8000000000001819,-5.063291139241599,True,True,True,True,0.0,1.199999999999818,7.59493670885952,0.8000000000001819,5.063291139241599,True,True,False
2015-04-13,short,20.89999999999964,4417.9,1.1000000000003638,5.263157894738674,3.5,16.74641148325388,False,True,False,False,,,,,,False,True,False
2015-04-14,short,33.5,4378.9,5.5,16.417910447761194,-0.1999999999998181,-0.5970149253725914,True,False,True,True,0.0,1.6000000000003638,4.7761194029861604,3.699999999999818,11.044776119402442,True,False,False
2015-04-15,long,14.0,4424.4,1.7999999999992724,12.85714285713766,5.5,39.285714285714285,False,True,True,True,0.0,0.6999999999998181,4.999999999998701,6.599999999999454,47.142857142853245,True,True,False
2015-04-16,long,14.899999999999636,4424.0,2.699999999999818,18.12080536912674,-2.199999999999818,-14.76510067114008,True,False,False,False,,,,,,False,False,False
2015-04-17,short,32.0,4353.1,3.199999999999818,9.999999999999432,-1.1000000000003638,-3.437500000001137,True,True,True,True,0.0,0.5,1.5625,1.5999999999994543,4.999999999998295,True,True,False
2015-04-20,long,27.100000000000364,4396.2,1.5,5.5350553505534315,0.1999999999998181,0.7380073800731196,False,True,True,True,0.0,0.5,1.8450184501844773,1.199999999999818,4.428044280442074,True,True,False
2015-04-22,short,22.100000000000364,4423.4,4.700000000000728,21.266968325794796,-3.2000000000007276,-14.479638009052827,True,False,True,True,0.0,-0.1999999999998181,-0.9049773755647729,1.699999999999818,7.692307692306742,False,False,False
2015-04-23,long,17.899999999999636,4458.7,8.399999999999636,46.9273743016749,-8.099999999999454,-45.251396648042565,True,False,False,True,98.0,11.699999999999818,65.36312849162043,-11.399999999999636,-63.68715083798809,True,False,False
2015-04-24,long,13.399999999999636,4528.8,2.0,14.925373134328762,-1.5999999999994543,-11.940298507458937,True,True,True,True,0.0,1.9000000000005457,14.179104477616397,-1.5,-11.194029850746572,True,True,False
2015-04-27,short,16.199999999999818,4537.5,1.800000000000182,11.111111111112358,2.699999999999818,16.66666666666573,False,True,False,True,199.0,1.800000000000182,11.111111111112358,2.699999999999818,16.66666666666573,False,True,False
2015-04-28,short,24.800000000000185,4476.8,22.699999999999818,91.53225806451472,4.699999999999818,18.95161290322493,False,False,True,True,0.0,3.199999999999818,12.903225806450783,24.199999999999818,97.58064516128886,False,True,False
2015-04-29,short,26.699999999999815,4487.1,3.7999999999992724,14.23220973782509,-2.7999999999992724,-10.486891385765137,True,False,False,True,27.0,3.7999999999992724,14.23220973782509,-2.7999999999992724,-10.486891385765137,False,True,False
